date,bidclose,tickqty
2015-02-05 22:00:00,1.53248,181492
2015-02-06 22:00:00,1.52339,171697
2015-02-08 22:00:00,1.52247,1986
2015-02-09 22:00:00,1.5215,149100
2015-02-10 22:00:00,1.52535,174434
2015-02-11 22:00:00,1.52294,156193
2015-02-12 22:00:00,1.53829,216366
2015-02-13 22:00:00,1.538,158334
2015-02-15 22:00:00,1.54221,1717
2015-02-16 22:00:00,1.53586,170164
2015-02-17 22:00:00,1.53514,150500
2015-02-18 22:00:00,1.54359,176567
2015-02-19 22:00:00,1.54123,148360
2015-02-20 22:00:00,1.53992,180390
2015-02-22 22:00:00,1.53922,1061
2015-02-23 22:00:00,1.54557,99327
2015-02-24 22:00:00,1.54517,135700
2015-02-25 22:00:00,1.55268,125673
2015-02-26 22:00:00,1.54033,158222
2015-02-27 22:00:00,1.54307,151330
2015-03-01 22:00:00,1.54155,380
2015-03-02 22:00:00,1.53644,104971
2015-03-03 22:00:00,1.53559,99988
2015-03-04 22:00:00,1.52635,135140
2015-03-05 22:00:00,1.52373,164169
2015-03-06 22:00:00,1.50211,187787
2015-03-08 21:00:00,1.50309,282
2015-03-09 21:00:00,1.51268,106961
2015-03-10 21:00:00,1.50656,190956
2015-03-11 21:00:00,1.4927,244357
2015-03-12 21:00:00,1.48812,214761
2015-03-13 21:00:00,1.47264,189509
2015-03-15 21:00:00,1.47225,870
2015-03-16 21:00:00,1.48256,135409
2015-03-17 21:00:00,1.47475,144899
2015-03-18 21:00:00,1.49762,268448
2015-03-19 21:00:00,1.47494,297372
2015-03-20 21:00:00,1.49524,241216
2015-03-22 21:00:00,1.49697,373
2015-03-23 21:00:00,1.49507,277266
2015-03-24 21:00:00,1.48469,241942
2015-03-25 21:00:00,1.48801,208524
2015-03-26 21:00:00,1.48443,236908
2015-03-27 21:00:00,1.487,213022
2015-03-29 21:00:00,1.48851,309
2015-03-30 21:00:00,1.48094,165517
2015-03-31 21:00:00,1.48142,190595
2015-04-01 21:00:00,1.48226,247232
2015-04-02 21:00:00,1.4826,177940
2015-04-03 21:00:00,1.49154,115944
2015-04-05 21:00:00,1.49146,157
2015-04-06 21:00:00,1.48736,79476
2015-04-07 21:00:00,1.48065,184356
2015-04-08 21:00:00,1.4866,207433
2015-04-09 21:00:00,1.47083,182281
2015-04-10 21:00:00,1.4631,185527
2015-04-12 21:00:00,1.46204,109
2015-04-13 21:00:00,1.46722,190557
2015-04-14 21:00:00,1.47764,221845
2015-04-15 21:00:00,1.48376,226171
2015-04-16 21:00:00,1.49289,226451
2015-04-17 21:00:00,1.49588,208765
2015-04-19 21:00:00,1.49537,456
2015-04-20 21:00:00,1.49035,165019
2015-04-21 21:00:00,1.49254,181846
2015-04-22 21:00:00,1.5034,202666
2015-04-23 21:00:00,1.50518,199768
2015-04-24 21:00:00,1.51854,215965
2015-04-26 21:00:00,1.5175,234
2015-04-27 21:00:00,1.5234,184778
2015-04-28 21:00:00,1.53379,204451
2015-04-29 21:00:00,1.54327,282801
2015-04-30 21:00:00,1.5351,281602
2015-05-01 21:00:00,1.51345,178946
2015-05-03 21:00:00,1.51449,409
2015-05-04 21:00:00,1.51172,189372
2015-05-05 21:00:00,1.51786,229924
2015-05-06 21:00:00,1.52436,282771
2015-05-07 21:00:00,1.52412,256702
2015-05-08 21:00:00,1.5437,389419
2015-05-10 21:00:00,1.54409,276
2015-05-11 21:00:00,1.55851,204091
2015-05-12 21:00:00,1.56664,210047
2015-05-13 21:00:00,1.5744,237449
2015-05-14 21:00:00,1.57742,209317
2015-05-15 21:00:00,1.57243,240060
2015-05-17 21:00:00,1.57343,223
2015-05-18 21:00:00,1.56518,201493
2015-05-19 21:00:00,1.55109,278363
2015-05-20 21:00:00,1.55316,315692
2015-05-21 21:00:00,1.56594,265152
2015-05-22 21:00:00,1.54796,277008
2015-05-24 21:00:00,1.54677,50
2015-05-25 21:00:00,1.54666,87009
2015-05-26 21:00:00,1.53832,291279
2015-05-27 21:00:00,1.53498,283394
2015-05-28 21:00:00,1.53107,275637
2015-05-29 21:00:00,1.52893,260462
2015-05-31 21:00:00,1.52905,307
2015-06-01 21:00:00,1.51986,262792
2015-06-02 21:00:00,1.53423,257634
2015-06-03 21:00:00,1.53391,239242
2015-06-04 21:00:00,1.53577,241487
2015-06-05 21:00:00,1.52614,280137
2015-06-07 21:00:00,1.52563,644
2015-06-08 21:00:00,1.53464,217063
2015-06-09 21:00:00,1.53838,238757
2015-06-10 21:00:00,1.55281,301524
2015-06-11 21:00:00,1.55165,230550
2015-06-12 21:00:00,1.5552,259886
2015-06-14 21:00:00,1.55422,802
2015-06-15 21:00:00,1.55992,215450
2015-06-16 21:00:00,1.56459,231500
2015-06-17 21:00:00,1.5831,304425
2015-06-18 21:00:00,1.58734,304358
2015-06-19 21:00:00,1.5871,196226
2015-06-21 21:00:00,1.58679,347
2015-06-22 21:00:00,1.58215,203942
2015-06-23 21:00:00,1.57288,235228
2015-06-24 21:00:00,1.57012,248841
2015-06-25 21:00:00,1.57472,257330
2015-06-26 21:00:00,1.57469,235283
2015-06-28 21:00:00,1.56884,4325
2015-06-29 21:00:00,1.57333,440925
2015-06-30 21:00:00,1.57129,337670
2015-07-01 21:00:00,1.56102,302763
2015-07-02 21:00:00,1.56047,253328
2015-07-03 21:00:00,1.55621,223675
2015-07-05 21:00:00,1.55443,4377
2015-07-06 21:00:00,1.55983,301009
2015-07-07 21:00:00,1.5461,344012
2015-07-08 21:00:00,1.53593,304007
2015-07-09 21:00:00,1.53782,279173
2015-07-10 21:00:00,1.55118,309548
2015-07-12 21:00:00,1.54978,821
2015-07-13 21:00:00,1.54856,305649
2015-07-14 21:00:00,1.56349,315183
2015-07-15 21:00:00,1.56326,295649
2015-07-16 21:00:00,1.56037,341613
2015-07-17 21:00:00,1.55973,243191
2015-07-20 21:00:00,1.55575,239914
2015-07-21 21:00:00,1.55525,281435
2015-07-22 21:00:00,1.56109,297726
2015-07-23 21:00:00,1.55105,295300
2015-07-24 21:00:00,1.55052,236347
2015-07-26 21:00:00,1.55123,281
2015-07-27 21:00:00,1.55585,285169
2015-07-28 21:00:00,1.56119,290092
2015-07-29 21:00:00,1.55964,333418
2015-07-30 21:00:00,1.55959,310194
2015-07-31 21:00:00,1.56153,386917
2015-08-02 21:00:00,1.56282,332
2015-08-03 21:00:00,1.55828,309431
2015-08-04 21:00:00,1.55591,325660
2015-08-05 21:00:00,1.56004,345580
